src_oui,src_mac,src2dst_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_total_packets,src2dst_total_duration_ms,src2dst_total_bytes,src2dst_stdev_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,src2dst_last_seen_time_ms,src2dst_first_seen_time_ms,protocol,dst_oui,dst_mac,dst2src_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_total_packets,dst2src_total_duration_ms,dst2src_total_bytes,dst2src_stdev_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,dst2src_last_seen_time_ms,dst2src_first_seen_time_ms,bidirectional_transmission_rate_ms,bidirectional_transmission_rate_byte_ms,bidirectional_total_packets,bidirectional_total_duration_ms,bidirectional_total_bytes,bidirectional_stdev_ps,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,label
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652456073651.485,1652456073651.485,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0026513481770732,0.3308503760962171,28,10560.6650390625,3494.0,0.7726181304565691,123.0,124.78571428571428,126.0,1652455749566.004,1652455739005.3389,z,0x02b0,0x02b0,0.001039791526599,0.1338495274240284,11,10579.043701171877,1416.0,2.631657241114569,127.0,128.72727272727272,133.0,1652455749585.1646,1652455739006.1208,0.0036862611130236,0.4640908221780997,39,10579.82568359375,4910.0,2.9179552446734607,123.0,126.5909090909091,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455741006.1123,1652455741006.1123,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0017374665854568,0.2168674201665706,22,12662.114013671877,2746.0,0.7767276132106847,124.0,124.8181818181818,126.0,1652455787260.2136,1652455774598.0996,z,0x02b0,0x02b0,0.0009477110749155,0.1222547286641029,12,12662.0869140625,1548.0,2.8284271247461903,127.0,129.0,133.0,1652455787260.8125,1652455774598.7256,0.0026850486379717,0.3391058485720795,34,12662.712890625,4294.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455786451.5256,1652455786451.5256,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0027134298590996,0.3387068315424009,23,8476.35693359375,2871.0,0.6360321234055561,124.0,124.82608695652172,126.0,1652455816507.181,1652455808030.824,z,0x02b0,0x02b0,0.0011765881591855,0.1515445549031051,10,8499.150634765625,1288.0,2.749545416973504,127.0,128.8,133.0,1652455816530.6194,1652455808031.4688,0.0038824463893059,0.4893058949431285,33,8499.79541015625,4159.0,2.9342801502242417,124.0,126.7,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455816744.3586,1652455816744.3586,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.00172763644296,0.2156404396531061,22,12734.16064453125,2746.0,0.7158188976374374,124.0,124.8181818181818,126.0,1652455854222.13,1652455841487.9692,z,0x02b0,0x02b0,0.0011779310928715,0.1521101684594839,15,12734.19140625,1937.0,2.777688887466621,127.0,129.13333333333333,133.0,1652455854222.7883,1652455841488.597,0.002905420150321,0.3677319611879333,37,12734.819091796877,4683.0,3.047950130825634,124.0,126.9,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455847068.52,1652455847068.52,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0018165956837225,0.2266795483601593,23,12661.045166015623,2870.0,0.7196932764020371,124.0,124.78260869565216,126.0,1652455885548.7996,1652455872887.7544,z,0x02b0,0x02b0,0.0011057641930862,0.1428015472214184,14,12660.92724609375,1808.0,2.8749445424997293,127.0,129.14285714285714,133.0,1652455885549.35,1652455872888.4226,0.0029222225682266,0.369463707409843,37,12661.595458984377,4678.0,3.08137923001757,124.0,126.92857142857144,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455877209.256,1652455877209.256,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0012990443968085,0.1617900748752514,11,8467.762939453125,1370.0,0.8907235428302466,124.0,124.54545454545456,126.0,1652455458819.809,1652455450352.046,z,0x02b0,0x02b0,0.0010629563155345,0.1371213647039623,9,8466.951904296875,1161.0,2.8284271247461903,127.0,129.0,133.0,1652455458820.363,1652455450353.4111,0.0023617443996357,0.2988787537739044,20,8468.31689453125,2531.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455453935.205,1652455453935.205,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
